step,layer,hops,path_mass,route_divergence,relation_residual,relation_shuffled,relation_coverage,sources
142,31,1,0.07768288,,0.32300862669944763,0.3343374729156494,1.0,"[[247, "" WAN"", 0.008476577699184418], [189, ""Mesh"", 0.0041692182421684265], [230, "" ring"", 0.003301873803138733]]"
143,31,1,0.06044686,,0.4332774579524994,0.4439009428024292,1.0,"[[247, "" WAN"", 0.005611864849925041], [189, ""Mesh"", 0.003207726404070854], [230, "" ring"", 0.0023388825356960297]]"
144,31,1,0.03685347,,0.36937204003334045,0.3793618679046631,1.0,"[[255, "" employ"", 0.002548845484852791], [189, ""Mesh"", 0.0014292988926172256], [247, "" WAN"", 0.001360217109322548]]"
145,31,1,0.042687185,,0.2913651764392853,0.30591651797294617,1.0,"[[247, "" WAN"", 0.002832358703017235], [189, ""Mesh"", 0.0026550590991973877], [163, "" Star"", 0.0020156893879175186]]"
146,31,1,0.02634321,,0.31783178448677063,0.33230993151664734,1.0,"[[189, ""Mesh"", 0.001385500654578209], [68, "" Bus"", 0.0009805485606193542], [120, "" the"", 0.0008550379425287247]]"
147,31,1,0.022812188,,0.47462573647499084,0.49482813477516174,1.0,"[[189, ""Mesh"", 0.0028137080371379852], [68, "" Bus"", 0.0010780077427625656], [147, "" topology"", 0.0010323729366064072]]"
148,31,1,0.029790988,,0.3424084484577179,0.3538738787174225,1.0,"[[189, ""Mesh"", 0.001153741031885147], [163, "" Star"", 0.000858645886182785], [258, "".\n\n"", 0.0008185990154743195]]"
149,31,1,0.037143674,,0.31305521726608276,0.321432501077652,1.0,"[[258, "".\n\n"", 0.0015525203198194504], [189, ""Mesh"", 0.0015110522508621216], [139, ""."", 0.0011753477156162262]]"
0,1,2,0.0,,,,0.0,[]
1,1,2,0.010732736,0.09469079971313477,,,0.0,"[[249, "","", 0.00043124836520291865], [258, "".\n\n"", 0.000392332294723019], [254, "","", 0.00037436949787661433]]"
2,1,2,0.025693825,0.09586191177368164,0.344102680683136,0.3890232741832733,1.0,"[[249, "","", 0.0010477426694706082], [258, "".\n\n"", 0.0009264802210964262], [254, "","", 0.000898912432603538]]"
3,1,2,0.036160737,0.11478948593139648,0.1530623435974121,0.20283626019954681,1.0,"[[249, "","", 0.0015003967564553022], [254, "","", 0.0012916880659759045], [258, "".\n\n"", 0.0012872361112385988]]"
4,1,2,0.029009063,0.12579774856567383,0.08265595883131027,0.13131822645664215,1.0,"[[249, "","", 0.001199805410578847], [254, "","", 0.0010759745491668582], [258, "".\n\n"", 0.0010306378826498985]]"
5,1,2,0.032565657,0.14989280700683594,0.03032573126256466,0.07305766642093658,1.0,"[[249, "","", 0.0013127749552950263], [254, "","", 0.001223842496983707], [258, "".\n\n"", 0.0011431906605139375]]"
6,1,2,0.048450578,0.08211851119995117,0.01002145279198885,0.06375058740377426,1.0,"[[249, "","", 0.0019752548541873693], [254, "","", 0.001832227106206119], [258, "".\n\n"", 0.0017124915029853582]]"
7,1,2,0.045040533,0.1000218391418457,0.056175604462623596,0.10661885142326355,1.0,"[[249, "","", 0.0018048732308670878], [254, "","", 0.001763623207807541], [258, "".\n\n"", 0.0016151150921359658]]"
8,1,2,0.051831122,0.10308265686035156,0.12185786664485931,0.17576120793819427,1.0,"[[254, "","", 0.002073520328849554], [258, "".\n\n"", 0.001943443319760263], [249, "","", 0.001926913158968091]]"
